# name|website|categories|aliases|weight
Amazon|https://www.amazon.com|Apparel,Electronics,Grocery,Home,Beauty|amazon.com;www.amazon.com|100
Walmart|https://www.walmart.com|Grocery,Home,Electronics,Baby,Pet,Beauty|walmart.com;www.walmart.com|98
Target|https://www.target.com|Apparel,Grocery,Home,Beauty,Baby|target.com;www.target.com|96
Costco|https://www.costco.com|Grocery,Home,Electronics|costco.com;www.costco.com|94
Sams Club|https://www.samsclub.com|Grocery,Home,Electronics|samsclub.com;www.samsclub.com|92
BJs Wholesale Club|https://www.bjs.com|Grocery,Home,Electronics|bjs.com;www.bjs.com|90
Macy's|https://www.macys.com|Apparel,Shoes,Home,Beauty|macys.com;www.macys.com;macys|88
Nordstrom|https://www.nordstrom.com|Apparel,Shoes,Beauty,Home|nordstrom.com;www.nordstrom.com|86
Kohl's|https://www.kohls.com|Apparel,Home,Baby|kohls.com;www.kohls.com|84
JCPenney|https://www.jcpenney.com|Apparel,Home,Baby|jcpenney.com;www.jcpenney.com|80
Sears|https://www.sears.com|Home,Tools,Auto|sears.com;www.sears.com|65
Neiman Marcus|https://www.neimanmarcus.com|Apparel,Shoes,Beauty|neimanmarcus.com;www.neimanmarcus.com|66
Bloomingdale's|https://www.bloomingdales.com|Apparel,Beauty,Home|bloomingdales.com;www.bloomingdales.com;bloomies|63
Belk|https://www.belk.com|Apparel,Home|belk.com;www.belk.com|58
Dillard's|https://www.dillards.com|Apparel,Beauty,Home|dillards.com;www.dillards.com|55
Saks Fifth Avenue|https://www.saksfifthavenue.com|Apparel,Beauty|saksfifthavenue.com;www.saksfifthavenue.com|60
Ross Dress for Less|https://www.rossstores.com|Apparel,Home|rossstores.com;www.rossstores.com|54
TJ Maxx|https://www.tjmaxx.com|Apparel,Home|tjmaxx.com;www.tjmaxx.com|62
Marshalls|https://www.marshalls.com|Apparel,Home|marshalls.com;www.marshalls.com|61
Big Lots|https://www.biglots.com|Home,Beauty|biglots.com;www.biglots.com|50
Nike|https://www.nike.com|Apparel,Shoes,Fitness|nike.com;www.nike.com;snkrs|97
Adidas|https://www.adidas.com|Apparel,Shoes,Fitness|adidas.com;www.adidas.com|92
Under Armour|https://www.underarmour.com|Apparel,Fitness|underarmour.com;www.underarmour.com|85
Lululemon|https://www.lululemon.com|Apparel,Fitness|lululemon.com;www.lululemon.com|82
Athleta|https://www.athleta.com|Apparel,Fitness|athleta.com;www.athleta.com|70
